,Year,Bee Count
0,1994,1.0
1,1995,0.7117516629711752
2,1996,0.549889135254989
3,1997,0.6452328159645233
4,1998,0.6541019955654102
5,1999,0.6895787139689579
6,2000,0.6164079822616408
7,2001,0.4789356984478936
8,2002,0.5299334811529933
9,2003,0.5875831485587583
10,2004,0.4722838137472284
11,2005,0.15077605321507762
12,2006,0.11529933481152993
13,2007,0.2261640798226164
14,2008,0.0
15,2009,0.3237250554323725
16,2010,0.753880266075388
17,2011,0.31042128603104213
18,2012,0.4057649667405765
19,2013,0.623059866962306
20,2014,0.8492239467849224
21,2015,0.6740576496674058
22,2016,0.917960088691796
23,2017,0.6851441241685144
